VisitorID,Total_Visits,Total_Purchases,Avg_Time_Spent,Avg_Amount_Spent,Time_Since_Last_Visit,Unique_Shops_Visited,Purchase_to_Visit_Ratio,Last_Visit_Purchase
V1000,3,5,65.18717536612417,361.83993254703296,81,9,1.67,1
V1001,2,2,62.78694349670548,574.0225738888938,53,3,1.0,0
V1002,7,3,76.30668576300458,558.1968221737902,44,1,0.43,1
V1003,2,1,26.934890261180605,592.5482296985825,87,1,0.5,1
V1004,2,0,119.5957727161061,806.5539514920744,36,17,0.0,0
V1005,8,1,63.810665642970235,424.4892280907606,34,13,0.12,1
V1006,3,3,76.17715089421361,469.59901051494705,52,5,1.0,1
V1007,6,3,60.98222367105108,559.8635449624728,6,19,0.5,0
V1008,6,0,118.4963241097849,470.3230906675882,38,10,0.0,0
V1009,2,2,98.01280402983232,133.61170166586663,86,9,1.0,0
V1010,5,2,106.52545282610554,407.82905601857146,33,6,0.4,1
V1011,2,0,95.09414295405323,303.19870068175595,75,17,0.0,1
V1012,2,4,95.04990269833164,773.6172022792724,55,7,2.0,0
V1013,5,3,99.96587405666085,334.53850891651524,23,16,0.6,0
V1014,4,3,118.4769731101807,491.5456018020113,44,19,0.75,1
V1015,3,1,55.578265068767934,510.33650049927235,28,5,0.33,1
V1016,5,2,72.87818811381962,599.7213617853529,64,18,0.4,0
V1017,8,1,58.45901945686586,552.0125963898978,48,7,0.12,0
V1018,7,1,107.99772921560881,562.7342309728218,59,5,0.14,1
V1019,5,4,103.23782392722937,324.0950060840937,83,8,0.8,0
V1020,6,0,111.54338455856796,445.14625574030407,59,9,0.0,1
V1021,3,3,13.493227442382974,222.6367098101889,43,4,1.0,0
V1022,5,2,77.01839550736106,575.774148070988,43,3,0.4,0
V1023,8,3,18.589723857936306,345.9951294361513,77,12,0.38,0
V1024,5,3,148.53699308289833,769.707149358976,13,9,0.6,0
V1025,6,2,93.81051773537357,104.48030235718795,72,10,0.33,1
V1026,5,3,65.47634371836396,884.8907735002599,43,11,0.6,0
V1027,5,0,86.33207226962638,546.7109965325875,13,16,0.0,1
V1028,7,2,89.45610945091012,438.70015938333523,35,11,0.29,0
V1029,5,1,149.31076759256413,610.0967824843904,11,8,0.2,0
V1030,4,2,84.22920505898499,792.3973347226047,21,14,0.5,1
V1031,7,1,95.56778948567232,877.2250068373423,72,2,0.14,0
V1032,6,1,72.20784062957301,499.1067238126379,26,4,0.17,0
V1033,9,1,153.2849965892462,100.99511824678814,86,15,0.11,1
V1034,4,4,137.1712012489163,483.15982506942845,50,18,1.0,0
V1035,1,1,31.31630613521216,394.0854756908494,49,11,1.0,1
V1036,8,2,115.61008981068734,631.1291947001303,74,19,0.25,0
V1037,5,3,103.44134361770445,417.3279184462856,86,18,0.6,1
V1038,6,0,66.72420634836696,273.68624732135874,13,9,0.0,0
V1039,5,1,60.20139737503729,395.4362775182638,39,5,0.2,1
V1040,6,1,29.099509282600295,773.1018542249096,55,10,0.17,1
V1041,8,0,109.28169561998254,526.0584987966873,7,17,0.0,0
V1042,2,1,49.217528525248106,696.5639983660103,43,13,0.5,1
V1043,4,4,99.29553421350758,417.28133312675567,42,4,1.0,0
V1044,1,2,57.347171696521706,735.4281681950663,58,14,2.0,1
V1045,6,2,54.141844696644895,326.25491721732567,12,8,0.33,0
V1046,8,2,91.50761417553434,348.57983643526086,13,15,0.25,0
V1047,7,2,127.51848673549891,773.3533000536661,12,3,0.29,0
V1048,6,1,66.97422024302604,764.2916040028596,76,17,0.17,0
V1049,4,2,88.22424951228713,118.61846136254297,38,15,0.5,0
V1050,3,0,93.08639540916036,698.9869461177443,3,1,0.0,0
V1051,6,2,87.63708751028248,232.1758729947354,72,5,0.33,0
V1052,6,2,99.29445453655504,712.8044180519325,62,8,0.33,1
V1053,3,4,90.48892966633925,707.455070791843,31,9,1.33,1
V1054,1,2,37.75880071469808,815.3265186319486,77,2,2.0,0
V1055,8,2,129.13967082523686,840.7622816307162,72,5,0.25,1
V1056,2,3,101.84668076486108,547.1277362457313,37,4,1.5,1
V1057,5,6,83.60347561344884,450.4403305623173,24,12,1.2,0
V1058,4,2,60.01508025239427,495.7799843656217,68,19,0.5,0
V1059,6,1,79.04623459628827,474.85563605449136,64,2,0.17,1
V1060,4,3,116.22109622999956,448.0796484352821,16,16,0.75,0
V1061,5,3,50.0729744987678,462.65468217912434,18,2,0.6,1
V1062,5,2,64.82075862636194,725.4575296132289,68,10,0.4,0
V1063,6,1,87.43740989475161,241.09130288128011,40,10,0.17,1
V1064,3,4,41.780733438278745,715.9898431860836,58,17,1.33,1
V1065,5,1,60.87884549318376,498.3132044978983,45,12,0.2,0
V1066,5,2,81.72459581404851,205.55031407995955,53,7,0.4,0
V1067,4,4,16.45817269095525,618.8999500689592,27,9,1.0,1
V1068,4,3,82.78313015857093,189.35830823560747,36,14,0.75,0
V1069,4,0,50.5572300714282,517.3441451738569,68,18,0.0,0
V1070,4,4,125.49086786275134,924.0486614593794,13,10,1.0,1
V1071,6,1,73.36633961178691,410.35112878111823,51,16,0.17,1
V1072,6,5,112.15155369550658,425.1011877892321,48,1,0.83,0
V1073,6,2,101.57633126232653,657.2897575765306,60,9,0.33,1
V1074,7,3,66.33118721526161,627.0354272982365,78,13,0.43,0
V1075,5,3,100.55713733462194,627.1226485631381,70,16,0.6,0
V1076,8,3,141.00671747364777,409.0243564834488,51,16,0.38,0
V1077,4,0,91.4887449408303,594.9237543601688,14,2,0.0,0
V1078,5,3,79.34889283255511,386.13802161526826,43,9,0.6,0
V1079,1,0,101.41818836825819,593.3349968057163,3,13,0.0,1
V1080,7,2,104.52569712255429,474.0166533576228,25,8,0.29,0
V1081,5,1,78.91257435358274,652.7667410127713,34,11,0.2,0
V1082,9,0,10.0,680.8505512454883,70,17,0.0,1
V1083,5,0,63.26998268493205,587.0981784589644,56,11,0.0,1
V1084,8,3,50.86794898952432,346.1751922208656,65,11,0.38,0
V1085,9,2,89.29504883978035,198.4400913405678,60,16,0.22,0
V1086,5,2,125.28919744358893,273.4830326823792,48,7,0.4,1
V1087,9,4,104.6252363214132,305.3211862675314,72,1,0.44,0
